fichier|origine|traitement
palmares-hero-w480.avif|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|paysage 16:9 (x120,y200,1620x911), avif q45, largeur 480
palmares-hero-w480.webp|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|idem, webp q60 (repli), largeur 480
palmares-hero-w640.avif|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|paysage 16:9 (x120,y200,1620x911), avif q45, largeur 640
palmares-hero-w640.webp|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|idem, webp q60 (repli), largeur 640
palmares-hero-w800.avif|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|paysage 16:9 (x120,y200,1620x911), avif q45, largeur 800
palmares-hero-w800.webp|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|idem, webp q60 (repli), largeur 800
palmares-hero-w1024.avif|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|paysage 16:9 (x120,y200,1620x911), avif q45, largeur 1024
palmares-hero-w1024.webp|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|idem, webp q60 (repli), largeur 1024
palmares-hero-w1600.avif|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|paysage 16:9 (x120,y200,1620x911), avif q45, largeur 1600
palmares-hero-w1600.webp|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|idem, webp q60 (repli), largeur 1600
palmares-hero-p420.avif|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|portrait 1:2 (x509,y0,662x1324) pour mobile, avif q38, largeur 420
palmares-hero-p420.webp|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|idem, webp q55 (repli), largeur 420
palmares-hero-p640.avif|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|portrait 1:2 (x509,y0,662x1324) pour mobile, avif q38, largeur 640
palmares-hero-p640.webp|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|idem, webp q55 (repli), largeur 640
palmares-hero-p900.avif|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|portrait 1:2 (x509,y0,662x1324) pour mobile, avif q38, largeur 900
palmares-hero-p900.webp|course/galop-mouvement.jpg (https://www.pexels.com/photo/17651070/)|idem, webp q55 (repli), largeur 900
